,Unnamed: 0,URL,TLD,LTS,Title,Description,DA,Discovery,keywords,domain,yesno
3024,4199,http://fhco.org/renters/,org,3,"Renters - Fair Housing Council of Oregon
fhco.org â€º renters",,34,12/22/2023 13:19,"Title: Fair Housing Council of Oregon Keywords: oregon, landlord, verification, rental, council, fair, request, modifications, need, housing, provider, letter, reasonable, disability",fhco.org,Yes
3025,4200,http://www.caseiq.com/resources/the-ultimate-guide-to-avoiding-racial-discrimination-in-hiring/,com,3,"The Ultimate Guide to Avoid Racial Discrimination in Hiring - Case IQ
www.caseiq.com â€º resources â€º the-ultimate-guide-to-avoiding-racial-discri...",,34,12/22/2023 13:19,"Title: The Ultimate Guide to Avoid Racial Discrimination in Hiring Keywords: hiring, racial, bias, training, ultimate, workplace, applicants, organization, discrimination, practices, guide, race, avoid",caseiq.com,Yes
3029,4205,http://www.veremark.com/blog/everything-you-need-to-know-criminal-record-checks,com,2,"Everything You Need to Know About Criminal Record Checks for ...
www.veremark.com â€º blog â€º everything-you-need-to-know-criminal-recor...",,34,12/22/2023 13:19,"Title: Everything you need to know about Criminal Record Checks for Employment Keywords: checks, hiring, employers, employment, background, need, history, check, record, know, criminal, records",veremark.com,Yes
3032,4208,http://www.rnlawgroup.com/justice-department-alleges-spacex-engaged-in-hiring-discrimination/,com,2,"Justice Department Alleges SpaceX Engaged in Hiring Discrimination
www.rnlawgroup.com â€º Blog",,34,12/22/2023 13:19,"Title: Justice Department Alleges SpaceX Engaged in Hiring Discrimination Keywords: permanent, status, hiring, department, employers, asylees, engaged, discrimination, hire, spacex, refugees, immigration, justice, alleges",rnlawgroup.com,Yes
3034,4210,http://www.redbanklegal.com/practice-areas/employment-discrimination-attorney/language-discrimination/,com,1,"Language Discrimination
www.redbanklegal.com â€º ... â€º Employment Discrimination Attorney",,34,12/22/2023 13:19,"Title: Language Discrimination Keywords: employees, employers, language, employee, employment, workplace, nj, discrimination, rules, work",redbanklegal.com,Yes
3040,4217,http://www.huntclub.com/blog/fair-hiring,com,1,"What are Fair Hiring Practices and Why are They Important - Hunt Club
www.huntclub.com â€º blog â€º fair-hiring",,34,12/22/2023 13:19,"Title: What are Fair Hiring Practices and Why are They Important Keywords: hiring, language, act, fair, workplace, organization, rights, practices, job, important, discrimination",huntclub.com,Yes
3043,4220,http://www.wenzelfenton.com/blog/2022/07/18/employment-discrimination-statistics-employees-need-to-know/,com,1,"2023 Employment Discrimination Statistics Employees Need to Know
www.wenzelfenton.com â€º blog â€º 2022/07/18 â€º employment-discrimination...",,34,12/22/2023 13:19,"Title: Employment Discrimination Statistics In 2023 Keywords: employees, information, claim, employment, workplace, statistics, discrimination, cases, rights, 2023, experienced",wenzelfenton.com,Yes
3045,4223,http://www.employerscouncil.org/resources/examination-gender-bias-hiring/,org,1,"An Examination of Gender Bias in Hiring - Employers Council
www.employerscouncil.org â€º resources â€º examination-gender-bias-hiring",,34,12/22/2023 13:19,"Title: An Examination of Gender Bias in Hiring Keywords: bias, hiring, managers, female, candidates, published, process, job, studies, men, women, gender, examination",employerscouncil.org,Yes
3046,4224,http://www.calpeculiarities.com/2018/04/25/california-employers-beware-the-background-check-bugaboos/,com,1,"California Employers: Beware the Background Check Bugaboos
www.calpeculiarities.com â€º 2018/04/25 â€º california-employers-beware-the-...",,34,12/22/2023 13:19,"Title: California Employers: Beware the Background Check Bugaboos Keywords: california, notice, applicant, employers, information, background, employer, credit, history, check, beware, criminal, bugaboos",calpeculiarities.com,Yes
3048,4227,http://www.cohenjaffe.com/areas-we-serve/long-island-ny/employment-law-lawyer/employment-discrimination/race-ethnicity/,com,1,"Long Island Race, Ethnicity and National Origin Discrimination ...
www.cohenjaffe.com â€º long-island-ny â€º employment-discrimination â€º race...",,34,12/22/2023 13:19,"Title: Long Island Race, Ethnicity and National Origin Discrimination Lawyers Keywords: person, long, ethnicity, island, employment, workplace, national, origin, rights, discrimination, lawyers, race, york",cohenjaffe.com,Yes
3049,4228,http://www.caseiq.com/resources/criminal-background-checks-and-avoiding-discriminatory-hiring-practices/,com,1,"Criminal Background Checks: Avoiding Discriminatory Hiring
www.caseiq.com â€º resources â€º criminal-background-checks-and-avoiding-...",,34,12/22/2023 13:19,"Title: Criminal Background Checks: Avoiding Discriminatory Hiring Keywords: avoiding, checks, hiring, employers, laws, prove, background, discriminatory, policies, practices, job, criminal",caseiq.com,Yes
3050,4229,http://www.hq-law.com/employment/discrimination/conviction-record/,com,1,"Arrest and Conviction Record Discrimination - Hawks Quindel Website
www.hq-law.com â€º Employment Law â€º Employment Discrimination",,34,12/22/2023 13:19,"Title: Arrest and Conviction Record Discrimination Keywords: employers, information, conviction, employment, employer, arrest, applicants, discrimination, job, record, criminal, records",hq-law.com,Yes
3052,4233,http://www.cnyfairhousing.org/gender-sex,org,1,"Gender (Sex) - CNY Fair Housing
www.cnyfairhousing.org â€º gender-sex",,34,12/22/2023 13:19,"Title: CNY Fair Housing Keywords: violence, landlords, domestic, fair, policies, housing, discrimination, women, cny, gender, survivors, differently",cnyfairhousing.org,Yes
3056,4239,http://verifiedfirst.com/blog/what-are-employment-verification-background-checks/,com,1,"Employment Verification Background Checks - Verified First
verifiedfirst.com â€º blog â€º what-are-employment-verification-background-c...",,34,12/22/2023 13:19,"Title: Employment Verification Background Checks Keywords: checks, hiring, verification, candidate, role, background, employment, history, candidates, verifications, process, screening",verifiedfirst.com,Yes
3058,4243,http://asurint.com/solutions/verifications,com,1,"Employment Verification Background Check Solutions - Asurint
asurint.com â€º solutions â€º verifications",,34,12/22/2023 13:19,"Title: Employment Verification Background Check Solutions Keywords: education, verification, dates, verifying, background, employment, verifications, provides, gap, check, team, verificationasurint, source, solutions",asurint.com,Yes
3060,4247,http://www.veremark.com/blog/everything-you-need-to-know-about-employment-history-checks,com,1,"Everything you need to know about Employment History Checks
www.veremark.com â€º blog â€º everything-you-need-to-know-about-employ...",,34,12/22/2023 13:19,"Title: Everything you need to know about Employment History Checks Keywords: checks, employers, information, candidate, provide, employment, history, need, candidates, gaps, know, screening",veremark.com,Yes
3061,4248,http://www.wenzelfenton.com/blog/2019/08/12/4-examples-of-discrimination-in-the-workplace/,com,1,"4 Types of Workplace Discrimination You Need to Know
www.wenzelfenton.com â€º blog â€º 2019/08/12 â€º 4-examples-of-discriminati...",,34,12/22/2023 13:19,"Title: 4 Types Of Workplace Discrimination Keywords: case, age, protected, types, based, workplace, class, rights, discrimination, gender, personal",wenzelfenton.com,Yes
3062,4249,http://credentialcheck.com/background-screening-services/,com,1,"Employment Background Screening Services | CredentialCheck
credentialcheck.com â€º background-screening-services",,34,12/22/2023 13:19,"Title: Employment Background Screening Services Keywords: credentialcheck, employees, facts, hiring, information, prospective, employment, background, check, company, services, screening",credentialcheck.com,Yes
3064,4251,http://www.veremark.com/blog/how-to-design-a-fair-and-inclusive-hiring-process,com,1,"How to Design a Fair and Inclusive Hiring Process - Veremark
www.veremark.com â€º blog â€º how-to-design-a-fair-and-inclusive-hiring-pr...",,34,12/22/2023 13:19,"Title: How to Design a Fair and Inclusive Hiring Process Keywords: diverse, hiring, bias, ensure, inclusive, fair, candidates, design, process, job, team, skills",veremark.com,Yes
3068,4255,http://www.rnlawgroup.com/apple-to-pay-25-million-to-resolve-citizenship-discrimination-case-stemming-from-its-perm-labor-certification-program/,com,1,"Apple to Pay $25 Million to Resolve Citizenship Discrimination Case ...
www.rnlawgroup.com â€º Blog",,34,12/22/2023 13:19,"Title: Apple to Pay $25 Million to Resolve Citizenship Discrimination Case Stemming from its PERM Labor Certification Program Keywords: regulations, program, certification, employers, perm, million, labor, resolve, stemming, applications, krystal, discrimination, positions, process, apple, citizenship, recruitment, pay",rnlawgroup.com,Yes
3071,4258,http://www.veremark.com/blog/how-to-screen-your-potential-employees-on-social-media,com,1,"How to Screen your Potential Employees on Social Media - Veremark
www.veremark.com â€º blog â€º how-to-screen-your-potential-employees-on-...",,34,12/22/2023 13:19,"Title: How to Screen your Potential Employees on Social Media Keywords: screen, employees, employers, way, potential, candidates, social, media, job, good, companies, screening",veremark.com,Yes
3072,4259,http://asurint.com/solutions/financial-solutions,com,1,"Background Check Solutions for Employers - Asurint
asurint.com â€º solutions â€º financial-solutions",,34,12/22/2023 13:19,"Title: Background Check Solutions for Employers Keywords: report, employers, information, position, background, credit, history, courts, provided, federal, check, bankruptcy, solutions",asurint.com,Yes
3074,4261,http://waveedfund.org/resources/background-checks/,org,1,"Background Checks - WAVE Educational Fund
waveedfund.org â€º resources â€º background-checks",,34,12/22/2023 13:19,"Title: Background Checks â€“ WAVE Educational Fund Keywords: law, checks, firearm, gun, universal, background, requiring, support, educational, check, wave, quinnipiac, fund",waveedfund.org,Yes
3075,4262,http://www.caseiq.com/resources/why-appearance-based-discrimination-isnt-illegal/,com,1,"Why appearance-based discrimination isn't illegal - Case IQ
www.caseiq.com â€º resources â€º why-appearance-based-discrimination-isnt-il...",,34,12/22/2023 13:19,"Title: Why appearance-based discrimination isnâ€™t illegal Keywords: miles, appearancebased, protected, attractive, basis, policy, illegal, weight, based, discrimination, appearance, isnt, think",caseiq.com,Yes
3076,4263,http://asurint.com/,com,1,"Asurint: Background Checks and Screening for Employers
asurint.com",,34,12/22/2023 13:19,"Title: Background Checks and Screening for Employers Keywords: checks, employers, working, background, instant, comes, search, clears, united, states, court, systems, screening",asurint.com,Yes
3078,4267,http://www.wenzelfenton.com/blog/2018/04/16/6-examples-of-age-discrimination-at-work/,com,1,"6 Examples Of Age Discrimination At Work
www.wenzelfenton.com â€º blog â€º 2018/04/16 â€º 6-examples-of-age-discrimi...",,34,12/22/2023 13:19,"Title: 6 Examples Of Age Discrimination At Work Keywords: law, age, employee, information, legal, employment, examples, discrimination, work, retirement, worker, older",wenzelfenton.com,Yes
3079,4268,http://credentialcheck.com/background-screening-services/verification-services/employment-verification/,com,1,"Employment Verification & Work History Background Check Services
credentialcheck.com â€º Services â€º Verification Services",,34,12/22/2023 13:19,"Title: Employment Verification & Work History Background Check Services Keywords: credentialcheck, verification, employment, background, risk, history, reduces, job, work, check, lowers, services, verify",credentialcheck.com,Yes
3080,4269,http://www.redbanklegal.com/practice-areas/employment-discrimination-attorney/marital-status-discrimination/,com,1,"Marital Status Discrimination | New Jersey
www.redbanklegal.com â€º ... â€º Employment Discrimination Attorney",,34,12/22/2023 13:19,"Title: Marital Status Discrimination Keywords: employees, status, jersey, employers, employee, employment, nj, discrimination, family, marital",redbanklegal.com,Yes
3081,4270,http://www.ecclestonwolf.com/news/2021/06/eeoc-concerns-in-the-use-of-social-media-for-job-postings/,com,1,"EEOC Concerns in the Use of Social Media for Job Postings
www.ecclestonwolf.com â€º news â€º 2021/06 â€º eeoc-concerns-in-the-use-of-s...",,34,12/22/2023 13:19,"Title: EEOC Concerns in the Use of Social Media for Job Postings Keywords: claimants, establish, postings, claims, concerns, position, employment, social, discrimination, media, job, standing, eeoc",ecclestonwolf.com,Yes
3082,4272,http://www.cbirecordscheck.com/,com,1,"State of Colorado Criminal History Check
www.cbirecordscheck.com",,34,12/28/2023 19:10,"Title: State of Colorado Criminal History Check Keywords: viewed, birth, state, user, security, history, search, social, check, colorado, record, criminal, parameters, records, additional",cbirecordscheck.com,Yes
3083,4273,http://www.redbanklegal.com/practice-areas/employment-discrimination-attorney/hiring-discrimination/,com,1,"Hiring Discrimination | McOmber McOmber & Luber | Red Bank NJ
www.redbanklegal.com â€º ... â€º Employment Discrimination Attorney",,34,12/28/2023 19:10,"Title: Hiring Discrimination Keywords: hiring, age, protected, pregnancy, nj, discrimination, process, race, questions, disability",redbanklegal.com,Yes
3084,4274,http://www.wenzelfenton.com/blog/2023/03/13/process-for-disputing-a-failed-background-check/,com,1,"How To Dispute A Failed Background Check
www.wenzelfenton.com â€º process-for-disputing-a-failed-background-check",,34,12/28/2023 19:10,"Title: How To Dispute A Failed Background Check Keywords: notice, report, dispute, information, failed, adverse, background, employer, credit, check, action",wenzelfenton.com,Yes
3088,4282,http://www.veremark.com/blog/your-guide-to-background-checks-for-employment,com,4,"Your Guide to Background Checks for Employment - Veremark
www.veremark.com â€º blog â€º your-guide-to-background-checks-for-emplo...",,34,12/28/2023 19:14,"Title: Your Guide to Background Checks for Employment Keywords: checks, types, different, background, employment, legally, markets, work, check, guide, criminal, data",veremark.com,Yes
3089,4283,http://www.calpublicagencylaboremploymentblog.com/hiring/california-modifies-regulation-for-considering-criminal-history-in-employment-decisions/,com,4,"California Modifies Regulation for Considering Criminal History in ...
www.calpublicagencylaboremploymentblog.com â€º Hiring",,34,12/28/2023 19:14,"Title: California Modifies Regulation for Considering Criminal History in Employment Decisions Keywords: california, considering, applicant, employers, modified, conduct, conviction, employment, employer, applicants, history, regulation, decisions, modifies, criminal",calpublicagencylaboremploymentblog.com,Yes
3090,4284,http://hjlawfirm.com/criminal-records-and-fair-housing/,com,3,"HUD: Fair Housing Act & Criminal History In Housing Decisions
hjlawfirm.com â€º Blog",,34,12/28/2023 19:14,"Title: HUD: Fair Housing Act & Criminal History In Housing Decisions Keywords: guidance, huds, act, fair, based, history, decisions, housing, discriminatory, hud, criminal, screening",hjlawfirm.com,Yes
3093,4287,http://www.veremark.com/blog/why-run-a-background-check-why-background-checks-are-important,com,2,"Why run a background check? Why background checks are important?
www.veremark.com â€º blog â€º why-run-a-background-check-why-backgrou...",,34,12/28/2023 19:14,"Title: Why run a background check? Why background checks are important? Keywords: records, checks, hiring, business, candidate, background, candidates, run, important, check, company, screening",veremark.com,Yes
3097,4294,http://asurint.com/resource-center/blog/november-2018/asurint-named-to-hro-today%E2%80%99s-2018-baker%E2%80%99s-dozen-list-of-top-background-screening-providers,com,1,"Asurint Named to HRO Today's 2018 Baker's Dozen List of Top ...
asurint.com â€º resource-center â€º blog â€º november-2018 â€º asurint-named-to...",,34,12/28/2023 19:14,"Title: Asurint Named to HRO Todayâ€™s 2018 Bakerâ€™s Dozen List of Top Background Screening Providers Keywords: dozen, hro, background, todays, named, list, providers, bakers, asurint, today, survey, screening",asurint.com,Yes
3105,4309,http://hrmhandbook.com/hrp/recruitment/background-check/,com,1,"Background Check | HRM Handbook
hrmhandbook.com â€º hrp â€º recruitment â€º background-check",,34,12/28/2023 19:14,"Title: Background Check Keywords: employee, information, potential, background, process, job, previous, check, recruitment, data",hrmhandbook.com,Yes
3107,4315,http://www.snapwa.org/i-need-help-with-housing/i-need-rental-housing/,org,1,"Rental Housing Information, Resources, and Support - SNAP
www.snapwa.org â€º I need help with housing or home repair",,34,12/28/2023 19:14,"Title: Rental Housing Information, Resources, and Support Keywords: upcoming, barriers, upfront, information, rental, low, spokane, urban, credit, support, housing, resources, zip",snapwa.org,Yes
3108,4317,http://www.safehiringsolutions.com/blog/top-10-police-background-check-disqualifiers,com,1,"Top 10 Police Background Check Disqualifiers - Safe Hiring Solutions
www.safehiringsolutions.com â€º blog â€º top-10-police-background-check-di...",,34,12/28/2023 19:14,"Title: Top 10 Police Background Check Disqualifiers â€” Safe Hiring Solutions Keywords: hiring, disqualifiers, database, information, safe, background, search, comprehensive, check, states, best, criminal, screening, solutions",safehiringsolutions.com,Yes
3112,4327,http://www.veremark.com/blog/a-comprehensive-guide-to-all-types-of-background-checks,com,1,"A comprehensive guide to all types of background checks - Veremark
www.veremark.com â€º blog â€º a-comprehensive-guide-to-all-types-of-backg...",,34,12/28/2023 19:14,"Title: A comprehensive guide to all types of background checks Keywords: checks, types, candidate, background, credit, tests, candidates, history, comprehensive, check, guide, criminal, financial",veremark.com,Yes
3116,4332,http://capitolhill.org/fair-criminal-screening-for-housing-act/,org,1,"Fair Criminal Screening for Housing Act - CHAMPS
capitolhill.org â€º fair-criminal-screening-for-housing-act",,34,12/28/2023 19:14,"Title: Fair Criminal Screening for Housing Act Keywords: law, applicant, rental, offer, act, fair, background, applicants, providers, housing, provider, criminal, screening",capitolhill.org,Yes
3119,4337,http://www.arnoldsmithlaw.com/will-pending-criminal-charges-show-up-on-my-background-check.html,com,1,"Will Pending Criminal Charges Show Up on My Background Check?
www.arnoldsmithlaw.com â€º Practice Areas â€º Criminal Defense",,34,12/28/2023 19:14,"Title: Will Pending Criminal Charges Show Up on My Background Check? Keywords: prosecutor, pending, checks, background, employment, employer, reporting, charge, charges, check, criminal",arnoldsmithlaw.com,Yes
3144,4373,http://www.newyorkcitydiscriminationlawyer.com/national-origin-discrimination-during-the-interv/,com,2,"National Origin Discrimination During the Interview or Hiring Process
www.newyorkcitydiscriminationlawyer.com â€º national-origin-discriminatio...",,33,12/22/2023 13:19,"Title: National Origin Discrimination During the Interview or Hiring Process Keywords: hiring, employers, based, employer, city, national, origin, process, discrimination, job, interview, york",newyorkcitydiscriminationlawyer.com,Yes
3145,4374,http://orrgroup.com/how-to-ensure-your-hiring-practices-meet-anti-discrimination-requirements/,com,2,"How To Ensure Your Hiring Practices Meet Anti-Discrimination ...
orrgroup.com â€º how-to-ensure-your-hiring-practices-meet-anti-discriminati...",,33,12/22/2023 13:19,"Title: How To Ensure Your Hiring Practices Meet Anti-Discrimination Requirements Keywords: hiring, laws, meet, ensure, requirements, postings, antidiscrimination, act, employment, equal, organization, practices, job, discrimination, title",orrgroup.com,Yes
3147,4377,http://www.ycusd.org/District/Required-Postings/Non-Discrimination-Policies/Non-discrimination-in-Employment/index.html,org,1,"Non-Discrimination in Employment - Yuba City Unified School District
www.ycusd.org â€º District â€º Required-Postings â€º Non-discrimination-in-Em...",,33,12/22/2023 13:19,"Title: Yuba City Unified School District Keywords: investigation, unified, employees, harassment, shall, complaint, school, yuba, city, coordinator, complainant, districts, discrimination, district",ycusd.org,Yes
3148,4378,http://filion.on.ca/insights/ontario-court-of-appeal-finds-hiring-policy-discriminated-based-on-citizenship/,ca,1,"Ontario Court of Appeal Finds Hiring Policy Discriminated Based on ...
filion.on.ca â€º insights â€º ontario-court-of-appeal-finds-hiring-policy-discrim...",,33,12/22/2023 13:19,"Title: Labour & Employment Law Insights Keywords: law, permanent, labour, employment, imperial, oil, code, work, insights, hrto, decision, citizenship, court, haseeb",filion.on.ca,Yes
3149,4379,http://www.newyorkcitydiscriminationlawyer.com/miami-office/miami-criminal-conviction-discrimination/,com,1,"Criminal Conviction Discrimination - Phillips & Associates
www.newyorkcitydiscriminationlawyer.com â€º miami-office â€º miami-crimi...",,33,12/22/2023 13:19,"Title: Criminal Conviction Discrimination Keywords: miami, supposed, employers, conviction, background, employer, applicants, discrimination, job, criminal",newyorkcitydiscriminationlawyer.com,Yes
3153,4386,http://disabilitylawcenter.org/resources/employment-discrimination/,org,1,"Employment Discrimination - Disability Law Center, Utah
disabilitylawcenter.org â€º resources â€º employment-discrimination",,33,12/22/2023 13:19,"Title: Disability Law Center, Utah Keywords: law, employees, center, employee, unlawful, employment, employer, disabilities, job, individual, utah, ada, disability",disabilitylawcenter.org,Yes
3155,4391,http://bklawyers.com/employment-law-resources/discrmination-in-employment/disability-discrimination/,com,1,"Disability Discrimination | Syracuse, Rochester, NYC, Buffalo NY
bklawyers.com â€º ... â€º Discrimination in Employment",,33,12/22/2023 13:19,"Title: Syracuse, Rochester, NYC, Buffalo NY Keywords: employees, damages, syracuse, employee, occurs, act, employment, rochester, discrimination, job, nyc, buffalo, ada, ny, disability",bklawyers.com,Yes
3157,4393,http://www.michiganemploymentlawadvisor.com/social-media/study-finds-evidence-of-unlawful-discrimination-in-using-social-media-to-recruit-employees/,com,1,"Study Finds Evidence of Unlawful Discrimination in Using Social ...
www.michiganemploymentlawadvisor.com â€º social-media â€º study-finds-ev...",,33,12/22/2023 13:19,"Title: Study Finds Evidence of Unlawful Discrimination in Using Social Media to Recruit Employees Keywords: employees, hiring, finds, unlawful, recruit, study, applicants, social, discrimination, media, job, process, searches, evidence, using",michiganemploymentlawadvisor.com,Yes
3162,4399,http://www.reminger.com/report-5064,com,1,"U.S. Supreme Court: Religion-Based Schools are not Subject to ...
www.reminger.com â€º report-5064",,33,12/22/2023 13:19,"Title: U.S. Supreme Court: Religion-Based Schools are not Subject to Employment Discrimination Laws Keywords: employees, religionbased, laws, employee, religious, ministerial, morrisseyberru, schools, employment, school, exception, institutions, mission, discrimination, subject, supreme, court",reminger.com,Yes
